TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;75,69;0,550000;10,11;110,73;0,68;56.497,57;1,48;4,47;18,05;521.435.107,88;13.579,00;;4.709.082,00
ADSH11;10,70;;0,00;;;38.359.398,40;;;;;;;0,00
AFHF11;10,00;0,130000;3,70;10,24;0,98;191.202,00;3,49;;;51.201.802,35;916,00;;5.000.000,00
AFHI11;95,64;1,030000;12,66;95,48;1,00;522.481,41;10,32;-0,16;13,42;457.271.776,55;38.622,00;;4.789.190,00
AIEC11;60,72;0,340000;6,69;76,01;0,80;283.706,10;8,72;-23,19;9,94;366.741.340,93;11.843,00;;4.824.987,00
AJFI11;8,44;0,050000;6,54;11,07;0,76;2.484.482,71;6,21;;;372.176.626,93;9.783,00;;33.625.978,00
ALMI11;625,55;2,518507;6,82;2.048,45;0,31;18.897,50;4,25;;-3,32;227.740.336,36;1.852,00;;111.177,00
ALZC11;7,50;0,100000;16,25;9,38;0,80;254.150,95;1,83;;4,83;184.590.936,22;10.774,00;;19.685.485,00
ALZM11;6,32;0,080000;0,00;7,46;0,85;;3,80;-6,90;-11,44;113.203.496,22;12.195,00;Ativa;15.180.540,00
ALZR11;9,92;0,083550;10,20;10,55;0,94;3.256.130,90;10,73;1,53;4,80;1.736.260.114,76;200.008,00;;164.629.260,00
ANCR11B;3.221,00;1,440191;0,04;120,19;26,80;;1,09;;;4.172.561.658,74;247,00;;34.717.612,00
APTO11;8,23;0,090000;12,83;9,79;0,84;12.881,05;11,23;-2,35;6,31;45.136.541,76;7.679,00;;4.612.227,00
APXM11;73,00;0,388586;6,26;125,59;0,58;51.889,64;0,58;;;355.310.635,38;692,00;;2.829.142,00
APXR11;99,99;;0,00;75,99;1,32;13,27;0,54;;;8.325.912,30;178,00;;109.567,00
APXU11;94,49;;0,00;74,82;1,26;32.211,50;19,79;;;7.597.609,10;49,00;;101.542,00
AQLL11;385,03;;0,00;789,66;0,49;;0,26;;;115.146.206,99;83,00;;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,16;0,007500;8,69;0,95;1,24;23.300,33;2,20;12,50;;159.742.002,08;6.169,00;;167.926.832,00
ARRI11;4,32;0,070000;23,61;8,43;0,51;270.457,24;2,58;-5,40;-8,83;174.716.196,87;23.493,00;;20.726.973,00
ARTE11;7,13;0,120000;16,15;10,49;0,68;88.926,19;1,71;;;99.680.531,05;796,00;;9.499.643,00
ARXD11;7,88;0,090000;13,90;9,14;0,86;36.809,05;3,45;-4,19;;79.820.061,13;2.048,00;;8.731.082,00
ASRF11;10.974,00;256,328699;0,00;9.551,51;1,15;10.974,00;1,21;;;38.206.023,23;95,00;;4.000,00
ATCR11;0,00;0,239841;0,00;68,43;;;1,26;;;63.568.451,78;33,00;;928.908,00
ATSA11;59,00;0,150000;4,75;74,04;0,80;318,55;3,12;-7,34;-1,28;129.659.320,76;304,00;;1.751.141,00
ATWN11;0,00;;0,00;2.065,92;;;0,65;;;332.111.797,43;2,00;;160.757,00
AURB11;81,20;0,500000;5,25;80,43;1,01;319.960,40;9,60;;;87.333.600,83;18,00;;1.085.780,00
AZPE11;0,00;0,137000;0,00;10,02;;;6,73;;;125.203.359,08;1,00;;12.500.000,00
AZPL11;7,55;0,080000;12,19;8,61;0,88;199.534,41;1,75;;;360.886.730,99;5.763,00;;41.922.689,00
BARI11;79,20;0,760800;3,49;78,48;1,01;0,00;6,74;-0,15;6,95;363.696.267,15;31.765,00;;4.634.191,00
BBFI11;5,92;361,119836;6.100,00;33,91;0,17;154.597,00;392,07;28,01;-83,45;4.408.674,69;5.522,00;;130.000,00
BBFO11;68,90;0,950000;14,03;74,21;0,93;504.901,10;2,24;7,33;11,73;297.121.050,89;11.450,00;;4.003.900,00
BBIG11;6,41;0,070000;14,49;9,58;0,67;906.234,38;3,68;;;949.677.063,57;38.108,00;;99.120.994,00
BBIM11;0,00;0,340000;0,00;0,00;;;;-24,05;;0,00;0,00;Ativa;0,00
BBRC11;103,35;1,050000;13,13;105,04;0,99;84.226,90;8,71;0,62;13,89;167.015.226,12;8.669,00;;1.590.000,00
BCFF11;7,28;0,070000;0,00;8,76;0,83;;6,73;1,07;-3,50;1.766.025.679,12;351.688,00;Ativa;201.491.024,00
BCIA11;89,00;0,860000;11,51;103,64;0,86;443.656,05;0,21;0,20;8,69;385.435.928,12;19.867,00;;3.719.038,00
BCRI11;59,05;0,780000;16,57;85,05;0,69;387.068,05;6,95;1,04;3,78;532.201.700,10;41.307,00;;6.257.873,00
BETW11;0,00;0,690000;0,00;110,29;;;0,92;;;276.210.622,35;2,00;;2.504.500,00
BGRB11;115,00;1,200000;6,81;116,87;0,98;140,70;4,31;;;225.892.660,89;377,00;;1.932.933,00
BICE11;764,16;5,230000;7,60;1.085,70;0,70;0,00;17,07;-12,84;4,38;144.847.056,01;120,00;;133.414,00
BICR11;35,92;0,363000;0,00;41,61;0,86;72,00;3,33;-18,17;-27,38;20.805.910,51;641,00;Ativa;500.000,00
BIME11;5,49;0,060000;15,85;8,38;0,66;38.843,00;1,90;-3,23;3,30;48.989.627,09;7.918,00;;5.845.602,00
BINR11;1.673,35;297,587399;28,55;1.179,93;1,42;;9,45;;;140.100.030,79;103,00;;118.735,00
BIPD11;989,33;10,800000;8,08;948,30;1,04;860.222,50;2,20;;;104.729.593,55;111,00;;110.439,00
BIPE11;1.000,00;;0,00;982,84;1,02;0,00;27,66;;;94.598.320,39;103,00;;96.250,00
BLCA11;98,23;0,550000;6,62;126,49;0,78;31.629,86;2,75;-29,21;-0,86;202.380.343,80;502,00;;1.600.000,00
BLCP11;91,00;0,563428;0,00;63,81;1,43;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BLMC11;85,75;1,070000;0,00;63,81;1,34;;3,50;-0,67;2,48;118.155.565,38;8.102,00;;1.851.786,00
BLMG11;30,73;0,390000;14,92;47,09;0,65;359.506,43;1,05;-14,32;-11,19;220.053.627,85;13.225,00;;4.673.000,00
BLMO11;86,71;0,530000;7,39;98,73;0,88;943,13;1,93;-78,81;;98.213.946,05;274,00;;994.814,00
BLMR11;6,78;0,053000;0,00;63,81;0,11;;3,50;;1,47;118.155.565,38;8.102,00;;1.851.786,00
BLOG11;6,66;0,020000;1,95;11,26;0,59;60,45;0,11;;;346.922.775,80;125,00;;30.796.704,00
BLUR11;76,03;1,010650;1,33;76,13;1,00;;100,42;-14,85;-2,92;6.851.720,42;1,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;454,06;;;0,27;;;34.190.505,41;24,00;Ativa;75.300,00
BMLC11;101,12;0,750000;8,45;110,09;0,92;13.191,05;5,12;-10,22;14,58;109.915.742,60;1.221,00;;998.405,00
BNFS11;39,00;0,500000;23,72;69,82;0,56;47.362,24;8,01;-18,03;-20,29;48.870.760,40;5.185,00;;700.000,00
BPFF11;54,53;0,670000;5,08;62,15;0,88;512.062,00;4,94;1,28;2,01;279.190.787,97;20.101,00;;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.938,03;;;0,28;;;323.274.262,75;30,00;;32.529,00
